# Target Name,RA,RA Uncertainty,DEC,DEC Uncertainty,Reference Frame,Epoch,RA PM,RA PM units,DEC PM,DEC PM units,Annual Parallax,V-Magnitude,Mag Uncertainty,Other Fluxes,Category,Description,Radial Velocity
TOI-4602,04 02 24.2191,2.4200000552809797e-05,+31 19 50.389,2.4200000552809797e-05,ICRS,2000.0,-115.397,MAS/YR,-192.417,MAS/YR,0.0159211,8.3,,G=8.183877944946289,STAR,"[K V-IV, Extra-solar Planetary System]",-48.584
TOI-4626,13 42 03.5179,1.2500000593718141e-05,-48 27 56.896,1.2500000593718141e-05,ICRS,2000.0,-170.897,MAS/YR,-148.194,MAS/YR,0.019549900000000002,9.2,,G=8.951970100402832,STAR,"[G V-IV, Extra-solar Planetary System]",0.687
TOI-4631,09 10 05.7254,7.999999979801942e-06,+75 36 39.169,7.999999979801942e-06,ICRS,2000.0,52.913,MAS/YR,-8.992,MAS/YR,0.0160628,9.4,0.019999999552965164,G=9.21930980682373,STAR,"[G V-IV, Extra-solar Planetary System]",-9.1
TOI-480,05 53 30.8773,1.3699999726668466e-05,-16 15 54.037,1.3699999726668466e-05,ICRS,2000.0,-43.179,MAS/YR,-89.895,MAS/YR,0.018423,7.3,0.009999999776482582,G=7.159052848815918,STAR,"[G V-IV, Extra-solar Planetary System]",3.733
TOI-5099,02 59 10.3970,3.110000034212135e-05,+19 59 23.423,3.110000034212135e-05,ICRS,2000.0,52.215,MAS/YR,-24.639,MAS/YR,0.0108711,7.3,0.008999999612569809,G=7.256879806518555,STAR,"[G V-IV, Extra-solar Planetary System]",23.44
TOI-5169,10 19 28.5835,1.920000067912042e-05,+06 34 58.701,1.920000067912042e-05,ICRS,2000.0,-41.703,MAS/YR,-47.931,MAS/YR,0.0276037,9.0,0.029999999329447746,G=8.742254257202148,STAR,"[K V-IV, Extra-solar Planetary System]",1.93
TOI-5388,10 08 42.1197,1.950000114447903e-05,+35 32 49.140,1.950000114447903e-05,ICRS,2000.0,192.380,MAS/YR,133.239,MAS/YR,0.0538975,12.7,,G=11.720614433288574,STAR,"[M V-IV, Extra-solar Planetary System]",
TOI-554,04 02 59.5066,2.28000008064555e-05,+09 12 30.533,2.28000008064555e-05,ICRS,2000.0,89.844,MAS/YR,-165.823,MAS/YR,0.0221315,6.9,,G=6.792205810546875,STAR,"[M V-IV, Extra-solar Planetary System]",26.572
TOI-5696,10 44 37.6007,1.8700000509852543e-05,+06 20 00.853,1.8700000509852543e-05,ICRS,2000.0,58.853,MAS/YR,-22.147,MAS/YR,0.015142200000000001,9.8,0.03999999910593033,G=9.652144432067871,STAR,"[K V-IV, Extra-solar Planetary System]",-20.98
TOI-5734,07 25 01.4322,1.4299999747890979e-05,+37 13 51.813,1.4299999747890979e-05,ICRS,2000.0,-27.712,MAS/YR,14.511,MAS/YR,0.0307027,9.6,0.03999999910593033,G=9.197406768798828,STAR,"[K V-IV, Extra-solar Planetary System]",
TOI-5789,20 11 06.0739,1.4299999747890979e-05,+16 11 16.792,1.4299999747890979e-05,ICRS,2000.0,-415.062,MAS/YR,398.487,MAS/YR,0.0489262,7.3,,G=7.113067150115967,STAR,"[K V-IV, Extra-solar Planetary System]",-49.285
TOI-5807,20 34 16.1126,1.1800000720540993e-05,+43 21 39.681,1.1800000720540993e-05,ICRS,2000.0,14.876,MAS/YR,-77.332,MAS/YR,0.013687,7.3,0.009999999776482582,G=7.183629989624023,STAR,"[K V-IV, Extra-solar Planetary System]",-6.9
TOI-6599,13 43 41.4867,1.930000144056976e-05,-40 02 29.224,1.930000144056976e-05,ICRS,2000.0,189.665,MAS/YR,-98.241,MAS/YR,0.0588598,15.0,,G=13.372673988342285,STAR,"[M V-IV, Extra-solar Planetary System]",
TOI-6673,11 29 01.7203,1.4700000065204222e-05,+63 34 24.521,1.4700000065204222e-05,ICRS,2000.0,105.412,MAS/YR,30.082,MAS/YR,0.014571899999999999,7.7,0.009999999776482582,G=7.627367973327637,STAR,"[M V-IV, Extra-solar Planetary System]",-24.16
TOI-6676,00 59 36.3454,2.5499999537714757e-05,-01 19 34.984,2.5499999537714757e-05,ICRS,2000.0,109.395,MAS/YR,2.838,MAS/YR,0.0141934,8.4,0.009999999776482582,G=8.256601333618164,STAR,"[M V-IV, Extra-solar Planetary System]",
TOI-757,12 31 58.7013,1.1199999789823778e-05,-35 33 17.691,1.1199999789823778e-05,ICRS,2000.0,47.929,MAS/YR,107.287,MAS/YR,0.016581600000000002,9.7,0.029999999329447746,G=9.561535835266113,STAR,"[G V-IV, Extra-solar Planetary System]",-8.546
TOI-815,10 23 29.2522,8.50000014906982e-06,-43 50 05.841,8.50000014906982e-06,ICRS,2000.0,8.898,MAS/YR,7.248,MAS/YR,0.0168245,10.2,0.029999999329447746,G=9.94469165802002,STAR,"[K V-IV, Extra-solar Planetary System]",-4.439
